GeneID	e125_1	e125_2	e125_3	e165_1	e165_2	e165_3	adult_1	adult_2	adult_3
ensmusg00000104379	7	0	9	15	5	2	5	22	1
ensmusg00000032719	0	0	0	0	0	0	0	0	0
ensmusg00000088943	0	0	0	0	0	0	0	0	0
ensmusg00000100652	0	0	0	0	0	0	0	0	0
ensmusg00000067795	4	0	0	4	7	20	26	6	9
ensmusg00000043716	7112	9543	9973	3539	4357	7675	4146	4389	2753
ensmusg00000025921	69	47	56	324	148	367	411	439	253
ensmusg00000104165	0	0	0	0	0	0	3	0	0
ensmusg00000100868	0	0	1	2	0	0	0	0	0
ensmusg00000025920	443	369	590	581	454	1097	951	1069	731
ensmusg00000089982	0	0	0	0	0	0	0	0	0
ensmusg00000025939	332	318	438	342	309	540	343	547	238
ensmusg00000102457	1	1	0	7	2	1	3	19	0
ensmusg00000079658	493	620	715	344	407	770	478	485	362
ensmusg00000097744	0	0	3	2	0	0	0	2	0
ensmusg00000100959	0	0	0	0	0	0	0	0	1
ensmusg00000025940	181	201	186	111	93	234	156	208	76
ensmusg00000025779	3	1	1	0	2	7	3	4	0
ensmusg00000100093	0	0	0	0	0	0	0	0	0
ensmusg00000091020	10	5	7	3	2	6	11	0	1
ensmusg00000101640	0	0	0	0	0	0	0	0	0
ensmusg00000104133	0	0	0	0	0	0	0	0	0
ensmusg00000042686	2	9	6	20	5	7	18	26	18
ensmusg00000100110	0	0	0	0	0	0	0	0	0
ensmusg00000025777	215	200	287	421	405	841	636	968	677
ensmusg00000099899	0	0	0	0	0	0	0	0	0
ensmusg00000100272	0	0	0	0	0	0	0	0	0
ensmusg00000100398	0	0	0	0	0	0	0	0	0
ensmusg00000101589	3	3	5	15	2	9	0	3	1
ensmusg00000102048	0	0	0	0	0	0	1	0	0
ensmusg00000089534	0	0	0	0	0	0	0	0	0
ensmusg00000067780	0	0	0	2009	2398	3783	2054	2001	1454
ensmusg00000100053	0	0	2	4	0	8	10	1	0
ensmusg00000085125	3	0	1	6	7	1	8	4	9
ensmusg00000025776	27	36	24	27	14	37	60	51	43
ensmusg00000099895	0	0	0	0	0	0	0	0	0
ensmusg00000100554	0	0	0	0	0	0	0	0	0
ensmusg00000099473	0	0	0	3	0	1	0	2	0
ensmusg00000099591	0	1	0	0	0	0	0	0	0
ensmusg00000109887	4	2	2	9	2	11	37	8	9
ensmusg00000102001	0	0	0	0	0	0	0	0	0
ensmusg00000101717	0	0	0	0	0	0	0	5	0
ensmusg00000025774	0	2	0	1	0	0	0	0	0
ensmusg00000070977	0	0	0	0	0	0	0	0	0
ensmusg00000073735	0	0	0	0	0	0	0	0	0
ensmusg00000067773	0	0	0	0	0	0	0	0	0
ensmusg00000101685	0	0	1	0	0	0	0	0	0
ensmusg00000101738	0	0	0	0	0	0	0	0	0
ensmusg00000101306	0	0	0	0	0	0	0	0	0
ensmusg00000088800	0	0	0	0	0	0	0	0	0
ensmusg00000101644	0	0	0	0	0	0	0	0	0
ensmusg00000099433	0	0	0	0	0	0	0	0	0
ensmusg00000089787	0	0	0	0	0	0	0	0	1
ensmusg00000042596	0	5	4	0	0	0	0	1	0
ensmusg00000100720	5	9	12	1	7	7	1	6	1
ensmusg00000025927	19	47	7	116	214	539	46	101	34
ensmusg00000100538	0	1	0	0	0	0	0	0	0
ensmusg00000101117	0	2	0	0	0	0	0	0	0
ensmusg00000100204	1	3	2	0	0	0	0	0	0
ensmusg00000084668	0	0	0	0	0	0	0	0	0
ensmusg00000102597	0	0	1	0	0	0	0	0	0
ensmusg00000043760	0	1	1	3	1	2	0	8	14
ensmusg00000104095	0	0	0	0	0	0	0	0	0
ensmusg00000089914	0	0	0	0	0	0	0	0	0
ensmusg00000090142	1	0	0	0	0	0	1	0	0
ensmusg00000070175	0	0	0	0	0	1	0	0	0
ensmusg00000065559	0	0	0	0	0	0	0	0	0
ensmusg00000099906	0	0	0	0	0	0	0	1	3
ensmusg00000065480	0	0	0	0	0	0	0	0	0
ensmusg00000025929	0	0	0	0	5	0	0	0	0
ensmusg00000041872	0	0	0	0	0	0	0	0	2
ensmusg00000041859	1439	1723	2093	310	254	726	233	244	128
ensmusg00000099714	0	0	0	0	0	0	0	0	0
ensmusg00000102121	0	0	0	0	0	0	0	0	0
ensmusg00000088858	0	0	0	0	0	0	0	0	0
ensmusg00000097934	5	1	3	3	1	2	0	1	0
ensmusg00000025931	892	541	1079	773	869	1630	608	654	359
ensmusg00000077314	0	0	0	0	0	0	4	0	0
ensmusg00000100929	1	0	1	0	1	6	0	2	0
ensmusg00000041809	8	10	14	393	108	326	506	499	381
ensmusg00000041779	505	402	497	128	221	483	48	85	44
ensmusg00000099971	0	2	0	0	0	0	0	0	0
ensmusg00000100819	1	1	1	5	3	2	6	11	3
ensmusg00000025933	16	23	25	37	13	40	59	75	33
ensmusg00000102633	0	1	2	1	1	0	0	3	10
ensmusg00000025934	5	0	0	10	1	4	4	7	1
ensmusg00000099343	1	0	0	0	0	0	0	3	0
ensmusg00000096375	1	1	1	10	10	6	63	27	24
ensmusg00000025936	0	0	0	0	0	1	0	0	0
ensmusg00000093963	0	0	0	0	0	0	0	0	0
ensmusg00000067750	0	0	0	0	0	0	0	0	0
ensmusg00000086194	0	0	0	0	0	0	0	0	0
ensmusg00000094436	0	0	0	0	0	0	0	0	0
ensmusg00000041722	0	0	0	0	0	0	0	0	0
ensmusg00000085507	0	0	0	0	0	0	0	0	0
ensmusg00000094926	0	0	0	0	0	0	0	0	0
ensmusg00000085079	0	0	0	0	0	0	0	0	0
ensmusg00000085679	0	0	0	0	0	0	0	0	0
ensmusg00000028033	7	11	16	107	61	113	184	243	84
ensmusg00000104138	0	0	0	0	6	0	2	1	0
ensmusg00000082935	28	34	40	14	18	23	25	7	11
ensmusg00000103748	0	0	0	0	0	5	6	2	0
ensmusg00000097109	0	0	0	0	0	0	0	4	0
ensmusg00000099692	0	0	0	0	0	1	0	0	0
ensmusg00000100418	0	0	0	0	0	0	0	0	0
ensmusg00000041670	46	64	75	417	386	639	720	948	499
ensmusg00000097642	0	0	0	0	0	0	0	0	0
ensmusg00000101468	0	0	0	0	0	0	0	0	0
ensmusg00000101227	0	0	5	0	9	0	0	1	0
ensmusg00000073730	0	0	0	0	0	1	12	0	0
ensmusg00000089553	0	0	0	0	0	0	0	0	0
ensmusg00000102766	0	1	0	0	0	0	0	0	0
ensmusg00000065405	0	0	2	0	5	0	2	0	0
ensmusg00000097970	1	0	6	4	0	0	3	12	0
ensmusg00000065567	0	0	0	0	0	0	0	0	0
ensmusg00000100775	3	1	5	0	0	0	0	2	6
ensmusg00000101226	0	0	0	0	0	0	0	0	0
ensmusg00000026158	128	126	206	556	220	422	738	1188	619
ensmusg00000097920	0	1	0	0	0	0	0	0	0
ensmusg00000099503	0	0	0	0	0	0	0	0	0
ensmusg00000026156	40	12	28	193	284	318	105	204	148
ensmusg00000026155	1396	1237	1753	811	1054	2366	593	990	467
ensmusg00000026154	41	92	115	123	65	164	174	156	114
ensmusg00000102495	0	0	0	0	0	0	0	0	0
ensmusg00000026153	1033	683	1145	613	559	1591	511	623	524
ensmusg00000102398	7	3	4	7	0	2	0	4	5
ensmusg00000097670	0	0	0	0	0	0	0	0	0
ensmusg00000026147	3	31	7	15	14	52	7	23	2
ensmusg00000026141	0	0	1	9	12	41	21	35	15
ensmusg00000077463	0	0	0	0	0	0	0	0	0
ensmusg00000099997	1	1	0	1	9	7	3	7	1
ensmusg00000100131	7	2	2	16	4	6	23	38	15
ensmusg00000067736	0	2	1	19	9	8	8	18	14
ensmusg00000101939	208	271	452	494	254	393	895	726	908
ensmusg00000101111	15	8	15	30	12	11	55	53	35
ensmusg00000100862	20	14	24	39	19	20	60	99	72
